"Incident ID","Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
1017377,"December 31, 2017",California,Winnetka,"6900 block of Oakdale Ave",0,1,N/A,34.209532,-118.577563,0.33,place,,,,,Winnetka,CA,"Los Angeles County",91306,US,"TIGER/Line® dataset from the US Census Bureau"
1017799,"December 31, 2017",California,Vallejo,"Tennessee St and Tuolumne St",0,0,N/A,38.10977,-122.238177,1,intersection,,"Tennessee St",,,Vallejo,CA,"Solano County",94590,US,"TIGER/Line® dataset from the US Census Bureau"
1018855,"December 31, 2017",Georgia,"Lithia Springs",N/A,0,0,N/A,33.765457,-84.646946,1,place,,,,,"Lithia Springs",GA,"Douglas County",30122,US,"TIGER/Line® dataset from the US Census Bureau"
1018172,"December 31, 2017","New York",Buffalo,"100 block of Oakmont Ave",0,1,N/A,42.912963,-78.807919,1,rooftop,100,Block,,,Buffalo,NY,"Erie County",14211,US,Erie
1020748,"December 31, 2017",Texas,Houston,N/A,0,0,N/A,29.998772,-95.264406,0.46,intersection,,"Ave A",,,Humble,TX,"Harris County",77338,US,"TIGER/Line® dataset from the US Census Bureau"
1019018,"December 31, 2017",Mississippi,Tupelo,"316 N Spring St",0,1,N/A,34.259649,-88.704347,1,range_interpolation,316,"N Spring St",,,Tupelo,MS,"Lee County",38804,US,"TIGER/Line® dataset from the US Census Bureau"
1019097,"December 31, 2017",Ohio,Youngstown,"700 block of Cassius Ave",0,0,N/A,41.017082,-80.802854,0.33,place,,,,,Youngstown,OH,"Mahoning County",44501,US,"TIGER/Line® dataset from the US Census Bureau"
1019095,"December 31, 2017",Ohio,Youngstown,"3600 block of Neilson Ave",0,0,N/A,41.017082,-80.802854,0.33,place,,,,,Youngstown,OH,"Mahoning County",44501,US,"TIGER/Line® dataset from the US Census Bureau"
1018224,"December 31, 2017","New Jersey",Camden,"600 block of Woodland St",1,0,N/A,39.80237,-74.938259,0.33,place,,,,,Camden,NJ,"Camden County",08101,US,"TIGER/Line® dataset from the US Census Bureau"
1017510,"December 31, 2017",Washington,Renton,"3200 block of SE 12th St",0,2,N/A,47.446982,-122.201521,0.33,place,,,,,Renton,WA,"King County",98055,US,"TIGER/Line® dataset from the US Census Bureau"
1019212,"December 31, 2017",Kentucky,Robards,"11000 block of US 41",0,1,N/A,37.700857,-87.551576,0.33,place,,,,,Robards,KY,"Henderson County",42452,US,"TIGER/Line® dataset from the US Census Bureau"
1069150,"December 31, 2017",Delaware,Wilmington,"1300 block of Banning St",0,0,N/A,39.727113,-75.547844,0.33,place,,,,,Wilmington,DE,"New Castle County",19801,US,"TIGER/Line® dataset from the US Census Bureau"
1018216,"December 31, 2017","North Carolina",Sanford,"590 Nicole Dr",0,1,N/A,35.319631,-79.050312,1,rooftop,590,"Nicole Dr",,,Sanford,NC,"Harnett County",27332,US,Harnett
1017652,"December 31, 2017",Ohio,Mechanicsburg,"9800 block of Loveless Rd",1,1,N/A,40.117805,-83.587808,0.33,place,,,,,Mechanicsburg,OH,"Champaign County",43044,US,"TIGER/Line® dataset from the US Census Bureau"
1019604,"December 31, 2017",Alabama,Opp,"Mullins St",0,1,N/A,31.269124,-86.253396,1,street_center,,"Mullins St",,,Opp,AL,"Covington County",36467,US,"TIGER/Line® dataset from the US Census Bureau"
1019407,"December 31, 2017",Ohio,"Dayton (West Carrollton)","300 block of Enxing Ave",2,0,N/A,40.571861,-81.064859,0.33,place,,,,,Carrollton,OH,"Carroll County",44615,US,"TIGER/Line® dataset from the US Census Bureau"
